eta_b_leading,pt_l1,pt_l2,pt_l_leading,pt_l_trailing,eta_l1,eta_l2,eta_l_leading,eta_l_trailing,pt_ll,m_ll,DeltaPhi_ll,DeltaEta_ll,pt_b_leading,pt_b_trailing,eta_b_leading,eta_b_trailing,pt_bb,m_bb,
0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,0.0207399,
-0.699092,21.3401,301.976,301.976,21.3401,-1.89296,-1.31002,-1.31002,-1.89296,281.405,166.124,2.88188,0.582943,750.65,56.7938,-0.699092,-0.184906,705.365,410.393,
-1.38515,53.0521,38.3439,53.0521,38.3439,-1.299,1.47478,-1.299,1.47478,44.6382,187.098,2.16931,-0.175774,570.591,170.784,-1.38515,0.924727,416.921,1083.97,
-0.443475,144.275,370.733,370.733,144.275,0.722678,-1.01398,-1.01398,0.722678,230.153,646.859,2.96376,-0.291298,95.1486,75.7631,-0.443475,0.176348,41.9193,174.878,
2.16214,75.6657,123.964,123.964,75.6657,1.15564,-0.656648,-0.656648,1.15564,48.388,278.798,3.17203,0.498989,177.643,157.464,2.16214,-0.884877,86.0811,799.932,
-1.49193,254.029,180.073,254.029,180.073,-0.969168,0.870413,-0.969168,0.870413,76.7361,621.484,3.23732,0.0987546,192.243,119.039,-1.49193,0.772801,94.281,515.348,
-0.547139,93.2124,74.4254,93.2124,74.4254,0.544069,-0.1994,0.544069,-0.1994,37.8765,175.164,2.74411,0.344669,273.799,56.1905,-0.547139,0.202512,233.021,253.27,
0.214626,157.543,91.4177,157.543,91.4177,-1.17622,0.813781,-1.17622,0.813781,67.3112,368.748,3.24646,0.362441,349.173,164.357,0.214626,-0.761145,206.848,529.46,
-1.49887,120.287,37.5788,120.287,37.5788,-1.39152,-1.31506,-1.39152,-1.31506,100.325,121.996,4.01354,0.0764633,412.535,78.0419,-1.49887,-1.29042,343.515,352.986,
1.17885,109.733,130.16,130.16,109.733,1.34847,-1.07001,-1.07001,1.34847,41.4736,434.644,2.83842,0.278459,155.413,142.682,1.17885,-1.29356,162.375,532.209,
-1.7185,37.7705,23.1692,37.7705,23.1692,-2.20771,1.37418,-2.20771,1.37418,18.2205,181.957,2.77105,0.833522,230.537,94.4673,-1.7185,1.27433,167.013,685.774,
